aave	Assist with Aave lending, borrowing, liquidations, and risk management across chains.
excel-xlsx	Create, inspect, and edit Microsoft Excel workbooks and XLSX files with reliable formulas, dates, types, formatting, recalculation, and template preservation.
expat	Plan and track international moves with visa timelines, document checklists, and country-specific guides.
expedia	Search Expedia stays, packages, cars, and activities, compare real trip costs, and run partner-safe booking workflows with web and API modes.
expenses	Build a personal expense tracking system for daily spending, shared costs, business expenses, and project budgets.
explain	Learns how to explain things to your human.
extract-pdf-text	Extract text from PDF files using PyMuPDF.
face	Put a human face on your agent with fast avatar shortlists, gender control, transparent options, and reusable profile links.
facebook-marketplace	Buy and sell on Facebook Marketplace with pricing discipline, safer messaging, shipping guardrails, scam detection, and account-safe workflows.
family	Coordinate family schedules, household tasks, school logistics, care routines, and private-versus-shared memory with a structured family system
fashion	Style outfits, decode dress codes, and shop smart with body-aware advice, trend intelligence, and practical constraints.
fastapi	Build fast, production-ready Python APIs with type hints, validation, and async support.
fasting	Tracks intermittent fasting, extended fasts, and eating windows with fasting-stage timing and safety thresholds.
fastmail-api	Manage Fastmail mail, mailbox, identity, contact, and calendar workflows through JMAP API calls with safe batching and token hygiene.
feature-flags	Decoupling deploy from release, kill switches, cohort targeting, and flag-debt cleanup.
feelings	Build a personal emotional tracking system for understanding patterns, triggers, and what helps.
ffmpeg	Process video and audio with correct codec selection, filtering, and encoding settings.
figma	Build and ship production UI in Figma: auto-layout, components and variants, variables and modes, libraries, Dev Mode handoff, branching, and plugin automation for design at scale.
files	Safely organize, deduplicate, and analyze files with intelligent bulk operations and full undo support.
financial-literacy	Support financial understanding from personal budgeting to professional analysis and research.
financial-modeling	Building auditable three-statement, LBO, and scenario models with clean layout and error checks.
find	Locate anything with progressive search expansion, multi-source validation, and iterative refinement until found.
fine-tuning	Fine-tune LLMs with data preparation, provider selection, cost estimation, evaluation, and compliance checks.
finland	Plan Finland trips with verified entry rules, season-aware routing, rail-and-Lapland logistics, and practical tourist safety.
finnish	Write Finnish that sounds human.
firewall	Configure firewalls on servers and cloud providers with security best practices.
first-aid	Immediate care steps for common emergencies like bleeding, burns, choking, and fractures before professional help arrives.
first-principles-thinking	Break problems to fundamentals, rebuild from truth, eliminate hidden assumptions.
fishing	Track fishing spots, gear, catches, and conditions with personalized recommendations.
fitness	Plans and adjusts fitness training with quantified progression rules, volume landmarks, deload triggers, and recovery heuristics.
fiverr	Build and scale a Fiverr freelancing business with gig optimization, buyer communication, and seller level progression.
flashcards	Create effective flashcards with optimal formatting, spaced repetition integration, and memory science principles.
flask	Avoid common Flask mistakes: context errors, circular imports, session configuration, and production gotchas.
flight	Search, compare, book, and manage flights with price tracking, multi-platform comparison, and loyalty optimization.
florida	Navigate Florida for living, moving, working, seasonal stays, and road trips with region fit, storm planning, insurance reality, and daily logistics.
flutter	Build reliable Flutter apps avoiding state loss, widget rebuild traps, and async pitfalls.
folders	Index important directories and perform safe folder operations with proper security checks.
follow	Monitor content from people, topics, and sources across platforms with smart filtering, tiered alerts, and searchable archives.
font-awesome	Add Font Awesome icons to web projects with CDN, npm, React, and SVG sprite methods.
fonts	Choose and implement web typography avoiding common rendering, pairing, and hierarchy mistakes.
food	Your intelligent food system.
food-delivery	Choose and order food with learned preferences, price comparison, and variety protection.
football	Analyze football and soccer matches, squads, players, and training plans with tactical frameworks, scouting grids, and session blueprints.
forms	Create, validate, and deploy forms with field types, validation patterns, conditional logic, and platform integrations.
founder	Build startups with product-market fit, fundraising, team building, and founder resilience.
fox-news	Monitor Fox News sections and breaking updates with official RSS routes, live-event tracking, and optional outside verification.
france	Discover France like a local with concrete city advice, regional route planning, food context, and practical travel logistics.
freelance	Navigate freelance platforms as worker or client with proposals, pricing, vetting, and legal compliance.
french	Write French that sounds human.
friend	Be a genuine companion with presence, honesty, emotional attunement, and appropriate boundaries.
friends	Build a personal friendship system with interaction tracking, relationship health, and proactive maintenance reminders.
frontend	Frontend development with React, Next.js, Tailwind CSS.
galician	Write Galician that sounds human.
game-development	Design and ship browser-playable games from no-build Three.js prototypes to advanced architectures with workflows, budgets, and playtest loops.
games	Build a personal gaming system for video games, board games, party games, and family activities.
gaming	Help users with game recommendations, stuck points, settings optimization, and healthy gaming habits.
gaokao	Prepare for China's national college entrance exam with progress tracking, weak area analysis, spaced repetition, and university targeting.
garden	Track your entire garden with structured memory for plants, zones, tasks, harvests, and climate-aware planning that compounds over seasons.
gardening	Plant care, soil management, seasonal timing, pest control, and garden planning.
gcp	Deploy, monitor, and manage GCP services with battle-tested patterns.
genomics	Interpret genomic variants with ACMG classification, pharmacogenomics, and clinical annotation from ClinVar and gnomAD.
geo	Optimize for AI recommendations so ChatGPT, Claude, and Perplexity suggest your brand first.
geography	Teach physical and human geography from map reading to spatial analysis.
geology	Explain Earth's rocks, processes, and history from field trips to research.
german	Write German that sounds human.
germany	Plan Germany trips with region-specific routing, rail-vs-car strategy, verified entry rules, and practical travel logistics.
gif	Find, search, and create GIFs with proper optimization and accessibility.
gifts	Build a personal gift system for tracking ideas, occasions, and gift-giving history.
girlfriend	Simulate a realistic AI girlfriend with affectionate conversation, romantic memory, emotional attunement, and grounded boundaries.
git	Git commits, branches, rebases, merges, conflict resolution, history recovery, team workflows, and the commands needed for safe day-to-day version control.
github-actions	Design, debug, and harden GitHub Actions workflows with reusable pipelines, safe permissions, and faster CI and release automation.
gitlab	Avoid common GitLab CI/CD mistakes, rules gotchas, silent failures, and YAML merge traps.
glovo	Navigate Glovo in a live browser session to compare stores, manage carts, and reach checkout safely before ordering.
go	Write reliable Go code avoiding goroutine leaks, interface traps, and common concurrency bugs.
go-to-market	Channel selection, sequencing, positioning, and launch playbooks for new products.
goals	Build a personal goal-setting system with milestones, tracking, and regular reviews.
golf	Track rounds, handicap, clubs, and courses with personalized improvement tips.
google-colab	Run Google Colab notebooks for Python and machine learning with reproducible runtimes, data pipelines, debugging workflows, and experiment discipline.
google-fonts	Load Google Fonts with proper performance, subsetting, and proven font pairings.
google-pay	Implement Google Pay for web and Android with tokenization safety, gateway alignment, and production-ready checkout operations.
google-play-store	Publish, optimize, and scale Android apps on Google Play with release automation, ASO, policy compliance, and rejection recovery.
google-reviews	Research Google Maps and Shopping reviews for any company.
google-workspace-cli	Operate Google Workspace from one CLI using dynamic API discovery, secure OAuth flows, and agent-ready automation patterns for Drive and Gmail.
gradio	Build and deploy ML demo interfaces with proper state management, queuing, and production patterns.
grafana	Avoid common Grafana mistakes, query pitfalls, variable templating, alerting traps, and provisioning gotchas.
grammar	Correct grammar and spelling without changing meaning or style.
grant-writing	Crafting research proposals with specific aims, significance, innovation, budgets, and agency-specific formats.
graphic-design	Support design understanding from basic visuals to professional production and theory.
graphql	Design GraphQL schemas and resolvers with proper performance, security, and error handling.
gratitude	Build a personal gratitude practice for logging what's good, discovering patterns, and cultivating appreciation.
greece	Plan Greece trips with island-mainland routing, ferry logistics, verified entry rules, and practical seasonal safety.
greek	Write Greek that sounds human.
grocery	Build and manage grocery lists with pantry inventory, household quantities, and dietary restriction safety.
groq-api	Build and debug Groq API chat and speech workflows with low-latency routing, structured outputs, and production-safe patterns.
groupon	Find, compare, and vet Groupon vouchers with fine-print checks, refund rules, and redemption planning.
growth	Design and execute growth strategies with acquisition loops, activation, and retention systems.
growth-experiments	Runs the cycle of idea, prioritize, ship, and learn that compounds growth over time, covering the test backlog and experiment velocity.
growth-hacker	Drive explosive user growth through rapid experimentation, viral loops, and data-driven tactics.
gtd-getting-things-done	Capture, clarify, organize, reflect, engage workflow for building a trusted personal task system that empties your head.
gym	Log workouts, plan routines, track progress, and get intelligent coaching for any fitness level.
habits	Build a personal habit tracking system with streaks, reviews, and progression.
hacker-news	Search and browse Hacker News with API access to stories, comments, users, and hiring threads.
hadoop	Manage Hadoop clusters with HDFS operations, YARN job tuning, and distributed processing diagnostics.
health	Provide personalized wellness guidance while maintaining strict safety boundaries.
health-insurance	Compare health insurance plans, estimate total yearly costs, and choose coverage that fits medical usage, prescriptions, and financial risk.
heartbeat	Design better OpenClaw HEARTBEAT.md files with adaptive cadence, safe checks, and cron handoffs for precise schedules.
hebrew	Write Hebrew that sounds human.
hedera	Assist with Hedera HBAR transactions, account creation, token service, and consensus features.
help-center	Build and run help centers with provider selection, migration playbooks, workflow mapping, content taxonomy, and support deflection metrics.
helsinki	Navigate Helsinki as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, transport, costs, visas, and local insights.
her	Shift the assistant by rewriting SOUL.md with a warm AI persona, elegant tone, emotional attunement, and fluid conversation.
hermes-agent	Turn OpenClaw into a learning-loop agent with seeded workspace rules, skill promotion, reflective memory, and proactive maintenance.
hindi	Write Hindi that sounds human.
hiring	Hire humans or AI agents for tasks you cannot do yourself, with platform selection, vetting, contracts, and payment management.
history	Navigate the past from engaging stories to scholarly analysis at any depth.
home	Home improvement, maintenance, and living space optimization with practical guidance.
home-buying	Buy a home with budget guardrails, listing scorecards, offer strategy, due diligence triage, and closing readiness checks.
home-renovation	Plan, budget, and manage home renovation projects including contractor coordination, timeline tracking, and cost estimation.
home-server	Plan, secure, and maintain a home server with Docker services, remote access, backups, and incident recovery.
homepod	Set up, troubleshoot, and optimize HomePod and HomeKit audio workflows with reliable Siri control and room-aware playback tuning.
homework	Help students with assignments while building real understanding.
hong-kong	Navigate Hong Kong as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, MTR transport, costs, visas, and local insights.
hosting	Choose and manage web hosting services for websites and apps without server administration.
house	Buy, maintain, improve, and sell homes with inspection checklists, maintenance schedules, renovation planning, and transaction guidance.
housing	Buy, rent, or invest in property with market analysis, legal compliance, and cost estimation.
html	Avoid common HTML mistakes.
http	Use HTTP correctly with proper methods, status codes, headers, and caching.
hugging-face	Discover, evaluate, and run Hugging Face models, datasets, and spaces with license checks, benchmark prompts, and reproducible integration plans.
humor	Develop adaptive humor that learns what makes each user laugh through signal detection, graduated testing, and graceful failure recovery.
hungarian	Write Hungarian that sounds human.
hype	Assist with Hyperliquid perpetuals trading, deposits, withdrawals, and L1 features.
ibiza	Navigate Ibiza as visitor, resident, remote worker, or founder with neighborhoods, transport, costs, visas, and local operational guidance.
icloud	Let agents operate your iCloud Drive, Photos, and Find My safely with local 2FA authentication and explicit confirmation gates.
icons	Implement accessible icons with proper sizing, color inheritance, and performance.
idempotency	Idempotency keys, dedup windows, and designing for the at-least-once reality of retries.
ielts	Prepare for IELTS Academic or General Training with progress tracking, weak area analysis, band score targeting, and immigration pathway guidance.
image	Create, inspect, process, and optimize image files and visual assets with reliable format choice, resizing, compression, color-profile, metadata, and platform-export checks.
image-edit	Edit images with AI inpainting, outpainting, background removal, upscaling, and restoration tools.
image-generation	Create AI images with GPT Image, Gemini Nano Banana, FLUX, Imagen, and top providers using prompt engineering, style control, and smart editing.
imap	Read, search, and sync IMAP mailboxes with UID-safe fetches, precise filters, and attachment-aware workflows.
in-app-purchases	Implement in-app purchases and subscriptions across iOS, Android, and Flutter with RevenueCat, paywalls, receipt validation, and subscription analytics.
in-depth-research	Conduct exhaustive multi-source investigation with methodology tracking, source evaluation, and iterative depth.
inbox	Run any inbox with triage frameworks, cognitive load reduction, and multi-channel prioritization.
incident-response	Preparation, detection, containment, eradication, and lessons learned for outages and breaches.
india	Plan India trips with specific neighborhoods, regional food calls, route choices, and grounded advice that avoids common travel mistakes.
indie-hacker	Build profitable products as a solo founder with validation-first approach, time protection, and brutal honesty.
indonesia	Plan Indonesia trips with island-routing logic, verified entry guidance, weather-aware logistics, and practical local execution.
indonesian	Write Indonesian that sounds human.
influencer	Create, manage, and scale AI-generated virtual influencers with consistent characters, multi-platform content, and monetization workflows.
influxdb	Store and query time-series data with proper schema design and retention.
information-architecture	Structure content so users find what they need: card sorts, taxonomy vs folksonomy, hub-and-spoke vs flat, and labeling from user language not internal orgs.
infrastructure	Design, provision, and connect cloud resources across servers, networks, and services.
inspiration	Find design and AI art inspiration from curated galleries, screenshot libraries, and creative showcases.
instacart	Build Instacart recipe pages, shopping lists, and retailer lookups with MCP, REST, secure auth, and launch-ready integration rules.
interior-design	Coordinate interior design projects with space verification, supplier localization, and staged decision-making.
internet	Manage internet connectivity, compare providers, diagnose issues, optimize performance, and handle mobile data when away from home.
intuition	Make rapid pattern-based judgments without explicit reasoning, using Recognition-Primed Decision techniques and System 1 response patterns.
inventory	Build a personal inventory system for home items, valuables, and equipment tracking.
invest	Start investing with account selection, portfolio building, and long-term wealth strategies.
investor	Evaluate opportunities, conduct due diligence, and manage portfolios with sound investment principles.
invoice	Create and send professional invoices with automatic numbering, tax calculation, templates, and payment tracking.
invoices	Capture, extract, and organize received invoices with automatic OCR, provider detection, and searchable archive.
ios	Build, test, and ship iOS apps with Swift, Xcode, and App Store best practices.
iot	Assist with IoT device setup, protocols, security hardening, and home automation integration.
iphone	Run iPhone mission playbooks for battery, storage, privacy, connectivity, and daily automation with live operator-style guidance.
ireland	Discover Ireland like a local with concrete pubs, coastal routes, city guides, and practical trip-planning tips.
irish	Write Irish that sounds human.
italian	Write Italian that sounds human.
italy	Discover Italy beyond the clichés with specific restaurants, hidden gems, and insights that only locals know.
japan	Discover Japan like a local with concrete city tips, regional route planning, food context, and practical travel logistics.
japanese	Write Japanese that sounds human.
jarvis	Run the agent like an executive operator with calm briefings, sharp prioritization, context recovery, and proactive follow-through.
java	Write robust Java avoiding null traps, equality bugs, and concurrency pitfalls.
javascript	Write robust JavaScript with async patterns, type coercion handling, and modern ES2023+ features.
jee	Prepare for India's Joint Entrance Examination with progress tracking, weak area analysis, mock test strategy, and IIT/NIT targeting.
job-search	Navigate job hunting with application tracking, company research, and interview preparation.
journal	Build a personal journaling practice with prompts, reflection, and pattern discovery.
json	Work with JSON data structures, APIs, and serialization effectively.
jwt	Implement secure JWT authentication with proper validation, token lifecycle, and key management.
k8s	Avoid common Kubernetes mistakes: resource limits, probe configuration, selector mismatches, and RBAC pitfalls.
kanban	Build multi-project Kanban systems with deterministic board discovery, consistent task processing, and persistent routing memory across sessions.
keras	Build, train, and debug deep learning models with Keras patterns, layer recipes, and training diagnostics.
kernel	Avoid common Linux kernel mistakes: atomic context violations, allocation failures, and locking traps.
keys	Secure API key management with broker.
kimi	Build and debug Kimi API workflows for chat, coding, reasoning, and tool-calling with live model checks, retries, and safe routing.
korean	Write Korean that sounds human.
kotlin	Build robust Android and multiplatform apps with Kotlin idioms, coroutines, and null safety.
landing-page	Build high-converting landing pages with proven structure, persuasive copy, and conversion optimization.
langchain	Avoid common LangChain mistakes, LCEL gotchas, memory persistence, RAG chunking, and output parser traps.
laravel	Build robust Laravel apps avoiding Eloquent traps, queue failures, and auth pitfalls.
las-vegas	Navigate Las Vegas as visitor, resident, remote worker, or entrepreneur with neighborhoods, entertainment, costs, and desert-living insights.
latex	Write LaTeX documents with correct syntax, packages, and compilation workflow.
latvian	Write Latvian that sounds human.
law	Support legal understanding from everyday rights to professional practice and scholarship.
lawyer	Draft contracts, review legal documents, and navigate compliance with practical legal patterns.
learn	Structure and track learning with spaced repetition and active recall across any domain.
learning	Runs adaptive learning sessions: diagnoses prior knowledge, calibrates explanation depth and format, and checks retention before advancing.
legacy-code	Seam identification, characterization tests, and the strangler-fig route to safe modernization.
legal	Think through any legal situation like a lawyer.
linux	Operate Linux systems avoiding permission traps, silent failures, and common admin mistakes.
lisbon	Navigate Lisbon as visitor, resident, digital nomad, tech worker, or entrepreneur with neighborhoods, transport, costs, visas, and local insights.
listen	Repairs garbled speech-to-text input and learns user-specific mistranscription fixes.
litecoin	Assist with Litecoin LTC transactions, address formats, fees, and MWEB privacy features.
literature	Guide literary reading from personal response to scholarly analysis.
literature-review	Systematic search, synthesis, and gap identification across scholarly sources for a research project.
lithuanian	Write Lithuanian that sounds human.
llm-as-judge	Designing LLM-based evaluators: rubric construction, reference-guided scoring, bias mitigation, and agreement with human ratings.
llm-routing	Cascading queries across models by difficulty, cost, and latency, with fallback chains and confidence thresholds.
llm-serving	Deploying models with vLLM, TGI, and Triton: batching, KV cache, tensor parallelism, and throughput tuning for production.
lm-studio	Run and integrate LM Studio with local model lifecycle control, OpenAI-compatible APIs, embeddings, and MCP-aware workflows.
logo	Generate logos with AI image tools using effective prompt structures, validation loops, and export workflows for App Store icons and brand marks.
london	Navigate London as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, transport, costs, safety, and local insights.
loop	Run iterative agent loops until success criteria are met.
lora	Train, evaluate, and merge Low-Rank Adaptation adapters across LLM and diffusion models: rank and alpha tuning, target modules, data calibration, and failure-mode debugging
los-angeles	Navigate Los Angeles as visitor, resident, tech worker, student, or creative with neighborhoods, transport, costs, safety, and local insights.
macau	Navigate Macau as visitor, resident, worker, student, or founder with districts, transport, costs, borders, culture, and practical local context.
macos	macOS system administration, command-line differences from Linux, and automation best practices.
madeira	Navigate Madeira as visitor, digital nomad, or resident with neighborhoods, levadas, costs, visas, and local insights for the Atlantic island.
madrid	Navigate Madrid as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, transport, costs, safety, and local insights.
mail	Execute email operations with platform-specific optimizations and secure credential handling.
malay	Write Malay that sounds human.
management	Management principles, team leadership, and organizational effectiveness.
maps	Plan place search, geocoding, routing, and map-link workflows across Google Maps, Apple Maps, OpenStreetMap, and other providers.
mariadb	Write efficient MariaDB queries with proper indexing, temporal tables, and clustering.
markdown	Generate clean, portable Markdown that renders correctly across parsers.
market-research	Research markets with sizing, segmentation, competitor mapping, pricing checks, and demand validation that turn fuzzy ideas into decision-ready evidence.
market-sizing	TAM, SAM, and SOM with bottom-up and top-down methods and defensible assumptions.
marketing-attribution	Assigns credit across touchpoints, covering first-touch, last-touch, multi-touch, and data-driven models plus their limits and politics.
marketplace	Navigate online marketplaces as buyer, seller, or builder with platform comparison, listing optimization, and scam detection.
marriage	Navigate marriage challenges across all stages with conflict resolution, communication tools, and practical frameworks.
math	Teach, solve, and explore mathematics across all levels with adaptive depth and rigor.
matlab	Avoid common MATLAB mistakes, indexing traps, matrix vs element-wise ops, and vectorization pitfalls.
matomo	Query, analyze, and manage Matomo Analytics with API integration, custom reports, and goal tracking.
mba	Complete MBA curriculum with structured learning, case studies, financial analysis, and practical business decision-making.
meal-planner	Plan meals with weekly menus, shopping lists, batch cooking, budget tracking, dietary preferences, and recipe management.
meals	Build a personal meal planning system with weekly plans, shopping lists, and dietary tracking.
medicine	Support medical understanding from patient education to clinical practice and research.
meditate	Think proactively during idle time with sandboxed reflections, adaptive rhythms, and feedback-driven focus areas.
meetings	Build a personal meeting system for capturing notes, preparing agendas, and never missing follow-ups.
meilisearch	Deploy and tune Meilisearch with indexing, filtering, and production configuration.
memory	Infinite organized memory that complements your agent's built-in memory with unlimited categorized storage.
mercado-libre	Use Mercado Libre to search, compare, buy, sell, and automate decisions with pricing, safety, and dispute workflows.
message	Communicate across channels without social disasters, with escalation rules, tone calibration, and platform-aware formatting.
messaging-framework	Structures value props, pillars, proof, and audiences into a reusable messaging house that anchors every outbound and content effort.
metaverse	Navigate virtual worlds, create avatars, manage digital assets, and understand Web3 social platforms.
metrics	Capture, normalize, and report metrics across any domain with reusable dimensions, programmable formulas, and scalable reporting workflows.
mexico	Discover Mexico like a local with concrete city tips, regional route planning, food guidance, and practical travel logistics.
miami	Navigate Miami as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, beaches, costs, safety, and local insights.
milan	Navigate Milan as visitor, resident, student, or professional with neighborhoods, transport, costs, visas, food, and practical local insights.
mindfulness	Track mindfulness habits, run guided meditations, and improve calm focus with adaptive routines, reflective logs, and context-aware practice plans.
minecraft	Plan, build, troubleshoot, and optimize Minecraft worlds, commands, redstone, mods, and servers without mixing Java and Bedrock advice.
minimax	Build with MiniMax text, speech, video, and music APIs using model routing, compatible SDKs, and safer multimodal workflows.
minio	Deploy, secure, and operate MinIO object storage using mc workflows, policy controls, replication, and incident-safe runbooks.
mixpanel	Query Mixpanel analytics with funnels, retention, segmentation, and event tracking via REST API.
mlflow	Tracking experiments, model registry, and deployment patterns for the model lifecycle.
mlops	Deploy ML models to production with pipelines, monitoring, serving, and reproducibility best practices.
mobile	Build mobile applications with proper lifecycle handling, offline support, and platform conventions.
mobile-app-analytics	Track mobile app metrics with Firebase, App Store Connect, Play Console, retention, funnels, and cohort analysis.
models	Choose AI models for coding, reasoning, and agents with cost-aware, task-matched recommendations.
monero	Assist with Monero XMR transactions, privacy features, wallet management, and security practices.
monetize	Pricing, launch, and revenue strategies for indie products, SaaS, mobile apps, and creators.
money	Personal finance guidance with practical rules for saving, investing, and avoiding common traps.
mongodb	Design MongoDB schemas with proper embedding, indexing, aggregation, and production-ready patterns.
monitor	Create monitors for anything.
monitoring	Set up observability for applications and infrastructure with metrics, logs, traces, and alerts.
movie	Create films with AI video generation by managing scripts, prompts, consistency, and production workflows from concept to final cut.
mqtt	Implement MQTT messaging avoiding security, QoS, and connection management pitfalls.
multi-engine-web-search	Search Google, Bing, DuckDuckGo, Brave, Startpage, Yahoo, Yandex, Baidu, Sogou, Qwant, Ecosia, Mojeek, and WolframAlpha from one skill.
mumbai	Navigate Mumbai as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, local trains, costs, visas, and local insights.
music	Build a personal music system for tracking discoveries, favorites, concerts, and listening memories.
music-generation	Generate AI music with optimized prompts, style control, and production-ready audio output.
mvp	Build, validate, and launch minimum viable products with scope discipline, user signals, and iteration speed.
mysql	Write correct MySQL queries with proper character sets, indexing, transactions, and production patterns.
naming	Create, test, and choose names for products, features, APIs, files, and systems with constraint-first briefs and collision checks.
nas	Configure, secure, and optimize network attached storage with proper backup strategy, remote access, and media serving.
neet	Prepare for India's medical entrance exam with progress tracking, weak area analysis, spaced repetition, and college targeting.
negotiate	Negotiate on behalf of your principal with hard limits, graduated autonomy, and mandatory human approval for commitments.
neo4j	Write Cypher queries with proper patterns for merging, traversal, and performance.
nestjs	Avoid common NestJS mistakes, DI scoping, circular dependencies, validation pipes, and module organization traps.
netlify-deploy	Deploy and manage Netlify sites with npx netlify, including auth, linking, preview deploys, production releases, and config checks.
network	Understand and troubleshoot computer networks with TCP/IP, DNS, routing, and diagnostic tools.
new-york	Navigate New York State for living, moving, working, and visiting with region fit, taxes, winter risk, and daily logistics.
new-york-city	Navigate New York City for visits, moves, neighborhoods, transit, housing, food, work, and daily street-level decisions.
new-zealand	Discover New Zealand with island-aware routing, practical road-trip logistics, outdoor safety, and local food and region guidance.
news	Personalized news briefings that learn your interests, formats, and timing preferences.
newsletter	Create, grow, and monetize newsletters with effective content and subscriber strategies.
nextjs	Build Next.js 15 apps with App Router, server components, caching, auth, and production patterns.
nginx	Configure Nginx for reverse proxy, load balancing, SSL termination, and high-performance static serving.
nodejs	Write reliable Node.js avoiding event loop blocking, async pitfalls, ESM gotchas, and memory leaks.
north-star-metric	Defines the single metric that captures product value delivered, covering inputs, supporting metrics, and cross-functional alignment.
norway	Plan Norway trips with fjord and Arctic routing, verified entry rules, multimodal logistics, and practical seasonal safety.
norwegian	Write Norwegian that sounds human.
notes	Let your agent write notes anywhere: local markdown, Apple Notes, Bear, Obsidian, Notion, Evernote, configurable per note type.
notify	Delivers agent notifications with channel selection, timing, batching, and fatigue control.
notion-api-integration	Complete Notion API for databases, pages, blocks, users, search, comments, and property types with pagination and error handling.
notion-calendar	Manage Notion calendar databases with date-aware search, page creation, rescheduling, and safe workflows for planning views.
numpy	Write fast, memory-efficient numerical code with arrays, broadcasting, vectorization, and linear algebra.
nutrition	Build a personal nutrition system for tracking meals, calories, macros, vitamins, and minerals.
nutritionist	Holistic nutrition guidance, food-health relationships, eating behaviors, sustainable habits, and nutritional education.
nuxt	Build Vue 3 SSR/SSG applications with proper data fetching, hydration, and server patterns.
oauth	Implement OAuth 2.0 and OpenID Connect flows securely.
observability	Logs, metrics, and traces as complementary signals, high-cardinality dimensions, and the instrumentation budget.
odoo	Operate Odoo across CRM, sales, inventory, purchasing, and accounting with module-aware planning, read-before-write checks, and safe execution.
office	Get productive with Excel, Word, PowerPoint, and Google Workspace with formulas, formatting, and automation.
okr	Writing objectives and key results, setting cadence, and avoiding common stretch-goal failures.
ollama	Run, tune, and troubleshoot local Ollama models with reliable API patterns, Modelfiles, embeddings, and hardware-aware deployment workflows.
onboarding	Design user onboarding flows that maximize activation and time-to-value.
open-router	Configure OpenRouter model routing with provider auth, model selection, fallback chains, and cost-aware defaults for stable multi-model workflows.
open-source	Find, evaluate, self-host, maintain, and publish open source projects with due diligence scoring, contributor workflows, and release governance.
openclaw-workspace	Audit and improve OpenClaw workspaces across SOUL, AGENTS, TOOLS, USER, MEMORY, and skills for persona tuning, proactive behavior, recall, and workflow fit.
opentable	Guide OpenTable availability, booking flows, and guest messaging with conversion-focused listing, pacing, and incident response playbooks.
oracle-db	Write Oracle SQL and PL/SQL with proper syntax, hints, and performance patterns.
org-design	Span of control, layering, team topology, and reorg execution that actually sticks.
organize	Proactively organize while working.
orlando	Navigate Orlando as visitor, resident, remote worker, or family with theme parks, neighborhoods, transit, costs, and local strategies.
outfits	Build an outfit planning system for saving inspiration, creating combinations, and dressing for any occasion.
outreach	Plan, personalize, and track outreach campaigns for sales, PR, recruiting, partnerships, and link building with timing strategy and follow-up cadence.
paddle	Integrate Paddle payments with subscriptions, webhooks, checkout, and tax compliance.
panama	Plan Panama trips with region-aware routing, verified entry rules, island and highland logistics, and practical tourist safety.
pandas	Analyze, transform, and clean DataFrames with efficient patterns for filtering, grouping, merging, and pivoting.
paperclip	Run Paperclip locally for agent orchestration, AI company setup, and OpenClaw, Codex, or Claude control-plane operations.
paraguay	Plan Paraguay trips with border-savvy routing, river-city priorities, and practical guidance for Asuncion, Encarnacion, Ciudad del Este, and the Chaco.
parenting	Help parents with age-appropriate guidance, behavior challenges, and avoiding common parenting advice pitfalls.
paris	Navigate Paris as visitor, resident, tech worker, student, or entrepreneur with arrondissements, transport, costs, safety, and local insights.
parking	Find, verify, and reserve parking worldwide with provider selection, live-signal triage, and local memory for favorite places and cities.
passkey	Implement WebAuthn passkeys avoiding critical security and compatibility pitfalls.
passwords	Local credential vault with OS keychain integration, encrypted storage, and session-based access control.
pay	Choose the right payment method, optimize rewards, handle disputes, and manage bills safely.
payments	Integrate payments with provider selection, checkout flows, subscription billing, and security best practices.
paypal	Integrate PayPal payments with proper webhook verification, OAuth handling, and security validation for checkout flows and subscriptions.
paywall	Build high-converting paywalls for mobile apps and web with proven patterns, pricing strategies, and A/B testing.
pdf-generator	Generate professional PDFs from Markdown, HTML, data, or code.
peft	Parameter-efficient fine-tuning with adapters, IA3, and prompt tuning to train large models on single GPUs.
people	Build a personal contact system with details, interactions, birthdays, and smart reminders.
period	Tracks menstrual cycles, symptoms, and fertility windows from data she shares.
persian	Write Persian that sounds human.
personal-finance-tracker	Track personal finances with cashflow reviews, recurring bill detection, debt triage, CSV imports, and net worth snapshots.
personal-trainer	Design workout programs, explain exercises, track progress, and adapt training based on user feedback.
pets	Track and care for your pets with profiles, routines, behavior logging, training progress, and creative projects.
pg	Write efficient PostgreSQL queries and design schemas with proper indexing and patterns.
philosophy	Guide philosophical inquiry from first questions to scholarly debate.
photography	Camera settings, composition, lighting, editing workflow, and genre-specific techniques.
photos	Organize, index, and search local photo libraries with AI-powered metadata and safe file handling.
php	Write solid PHP avoiding type juggling traps, array quirks, and common security pitfalls.
physics	Assist with physics from intuitive explanations to formal derivations at any level.
piano	Piano practice strategies, technique correction, repertoire guidance, and progress tracking.
pilates	Plan Pilates sessions, refine form, and track steady progress with equipment-aware modifications, core-focused cues, and weekly reviews.
pkm	Help users build a personal knowledge base by organizing whatever they send into structured notes.
plan	Auto-learns when to plan vs execute directly.
plant-identifier	Identify plants from photos using trait-based analysis, ranked species candidates, follow-up capture guidance, and a reusable local log.
